,timestamp,target_x,target_y,target_x_scale,target_y_scale,rover_x,rover_y,rover_x_scale,rover_y_scale,transform_vel_x,transform_vel_y,cont_action_x,cont_action_y,angle,flipped_angle,delta_x,delta_y,time_difference,distance_to_target
0,20240823122230.989,1000,250,15.0,-15.0,181.54636091724825,535.661515453639,-34.107218344965105,19.27938185443668,0.0,0.0,1.0,-1.0,-45.0,45.0,0.0,0.0,0.0,
1,20240823122239.352,1000,250,15.0,-15.0,191.28861339920215,517.2856914158688,-33.52268319604787,17.074282969904246,1.1649231713444814,2.1972765799079585,1.0,-1.0,-45.0,45.0,9.742252481953898,-18.375824037770258,8.363,866.8730361125954
2,20240823122239.695,1000,250,15.0,-15.0,216.7095199346846,509.2972770445525,-31.997428803918922,16.1156732453463,74.11343013260192,23.28983781724855,1.0,-1.0,-45.0,45.0,25.42090653548246,-7.988414371316253,0.343,851.7369004883163
3,20240823122240.062,1000,250,15.0,-15.0,237.97586775703056,486.18074486550836,-30.721447934578165,13.34168938386101,57.946451832005316,62.98782610093776,1.0,-1.0,-45.0,45.0,21.26634782234595,-23.116532179044157,0.367,825.0933608045042
4,20240823122240.370,1000,250,15.0,-15.0,261.98835736015326,459.2468506988387,-29.280698558390803,10.109622083860643,77.96262858156722,87.44770833334296,1.0,-1.0,-45.0,45.0,24.012489603122702,-26.93389416666963,0.308,797.7857621980208
5,20240823122240.708,1000,250,15.0,-15.0,290.9403933620772,427.79561792363694,-27.54357639827537,6.335474150836426,85.65691124829569,93.05098454201712,1.0,-0.9863443970680237,-44.606109619140625,44.606109619140625,28.952036001923943,-31.451232775201788,0.338,767.1019679282194
6,20240823122241.013,1000,250,15.0,-15.0,321.97949573337615,393.845301118811,-25.68123025599743,2.261436134257316,101.76754875835722,111.31251411418343,1.0,-0.8411456942558289,-40.068721771240234,40.068721771240234,31.039102371298952,-33.950316804825945,0.305,731.0108121761084
7,20240823122241.290,1000,250,15.0,-15.0,347.95451538359123,362.3021672571568,-24.122729076984527,-1.5237399291411862,93.7726341162999,113.87412946445563,1.0,-0.7003860473632812,-35.00686264038086,35.00686264038086,25.975019650215074,-31.543133861654212,0.277,693.1113004849426
8,20240823122241.574,1000,250,15.0,-15.0,369.9747523301076,331.4478287814532,-22.801514860193546,-5.22626054622561,77.53604558632527,108.6420368862802,1.0,-0.5578751564025879,-29.15606117248535,29.15606117248535,22.020236946516377,-30.85433847570357,0.284,661.6457441707773
9,20240823122241.915,1000,250,15.0,-15.0,390.76371157440633,301.21735096686524,-21.55417730553562,-8.853917883976173,60.964689865978656,88.65242760876237,1.0,-0.4075597822666168,-22.173831939697266,22.173831939697266,20.788959244298724,-30.23047781458797,0.341,635.26810207559
10,20240823122242.203,1000,250,15.0,-15.0,426.05219053936037,270.98687315227727,-19.436868567638374,-12.481575221726729,122.52944085053487,104.96693685620824,1.0,-0.25332334637641907,-14.215314865112305,14.215314865112305,35.28847896495404,-30.23047781458797,0.288,611.3853712468563
11,20240823122242.553,1000,250,15.0,-15.0,470.54798037683116,240.7563953376893,-16.76712117739013,-16.109232559477284,127.13082810705943,86.37279375596563,1.0,-0.1030144914984703,-5.881548881530762,5.881548881530762,44.495789837470795,-30.23047781458797,0.35,574.3313824173083
12,20240823122242.841,1000,250,15.0,-15.0,511.68227125342247,210.52591752310133,-14.299063724794653,-19.73688989722784,142.82739887705316,104.96693685620824,1.0,0.03653855621814728,2.092574119567871,-2.092574119567871,41.13429087659131,-30.23047781458797,0.288,529.5327046653543
13,20240823122243.130,1000,250,15.0,-15.0,549.1965800672176,301.26052921326004,-12.048205195966943,-8.848736494408797,129.8072969335472,313.9605940835942,1.0,-0.3980761766433716,-21.706323623657227,21.706323623657227,37.51430881379514,90.73461169015872,0.289,489.91061163809167
14,20240823122243.476,1000,250,15.0,-15.0,582.3600759604103,278.54692651760956,-10.058395442375378,-11.57436881788685,95.84825402656851,65.64625056546382,1.0,-0.2703559696674347,-15.128582954406738,15.128582954406738,33.1634958931927,-22.71360269565048,0.346,453.70845846018346
15,20240823122243.756,1000,250,15.0,-15.0,610.3867959424424,251.96621323209823,-8.376792243453458,-14.764054412148212,100.09542850725745,94.93111887682619,1.0,-0.12871100008487701,-7.334272861480713,7.334272861480713,28.02671998203209,-26.580713285511337,0.28,418.61442063717305
16,20240823122244.034,1000,250,15.0,-15.0,633.8621206098774,223.5821837095216,-6.968272763407356,-18.17013795485741,84.44361391163655,102.10082562077928,1.0,0.0177259873598814,1.0155178308486938,-1.0155178308486938,23.47532466743496,-28.38402952257664,0.278,389.618165349705
17,20240823122244.323,1000,250,15.0,-15.0,659.2007774748494,202.19605299433604,-5.447953351509042,-20.736473640679673,87.67701337360552,74.00045230168008,1.0,0.10733673721551895,6.126485347747803,-6.126485347747803,25.338656864971995,-21.386130715185544,0.289,367.0896998580231
18,20240823122244.612,1000,250,15.0,-15.0,687.2730767886952,187.13338065393373,-3.7636153926782896,-22.543994321527954,97.13598378493379,52.11997349620179,1.0,0.2604760229587555,14.599759101867676,-14.599759101867676,28.07229931384586,-15.062672340402315,0.289,344.1356235891127
19,20240823122244.938,1000,250,15.0,-15.0,716.5581716646342,178.98828680376303,-2.0065097001219527,-23.521405583548436,89.8315793740459,24.984950460646306,1.0,0.3712577521800995,20.36783218383789,-20.36783218383789,29.285094875938967,-8.145093850170696,0.326,318.98329161448646
20,20240823122245.228,1000,250,15.0,-15.0,746.07505785164,179.37790803874384,-0.23549652890159933,-23.47465103535074,101.7823661620892,1.3435214999338212,1.0,0.4222491681575775,22.891860961914062,-22.891860961914062,29.516886187005866,0.38962123498080814,0.29,292.20187107744465
21,20240823122245.519,1000,250,15.0,-15.0,778.3540072219307,185.21237810280186,1.7012404333158457,-22.774514627663777,110.9242246401741,20.04972530604132,0.9513263702392578,0.44226816296577454,24.933542251586914,-24.933542251586914,32.27894937029066,5.834470064058024,0.291,263.5628124717751
22,20240823122245.809,1000,250,15.0,-15.0,817.9150119051362,198.4636187074805,4.074900714308171,-21.18436575510234,136.41725752829487,45.69393311958148,0.869804322719574,0.42551448941230774,26.068208694458008,-26.068208694458008,39.56100468320551,13.251240604678628,0.29,230.92072679963195
23,20240823122246.108,1000,250,15.0,-15.0,869.5101559010911,211.65107779969495,7.170609354065469,-19.601870664036603,172.55901001991612,44.105214355232285,0.7397079467773438,0.42613959312438965,29.945886611938477,-29.945886611938477,51.59514399595491,13.187459092214453,0.299,189.2377908511792
24,20240823122246.399,1000,250,15.0,-15.0,927.2369872699182,220.37533168402973,10.6342192361951,-18.554960197916433,198.37399095816878,29.980253898057686,0.5605678558349609,0.4521391689777374,38.88872528076172,-38.88872528076172,57.726831368827106,8.724253884334786,0.291,136.00823227614785
25,20240823122246.760,1000,250,15.0,-15.0,996.0870930348177,221.3586853513014,14.765225582089059,-18.43695775784383,190.72051458420907,2.7239713774838554,0.15783962607383728,0.46594271063804626,71.28601837158203,-71.28601837158203,68.85010576489947,0.9833536672716718,0.361,78.5625673866969
